date_time,scaled_sales
2013-01-06,0.05272406319553408
2013-01-13,0.017366908896695454
2013-01-20,0.016406510948080932
2013-01-27,0.0
2013-02-03,0.03504531151459939
2013-02-10,0.012034916264852757
2013-02-17,0.02541086257723224
2013-02-24,0.01798027876207342
2013-03-03,0.061362667347347244
2013-03-10,0.05207668335763965
2013-03-17,0.028244959421847293
2013-03-24,0.02560252823448983
2013-03-31,0.0401385991422743
2013-04-07,0.09957997023562459
2013-04-14,0.04162199446990805
2013-04-21,0.04691902282040833
2013-04-28,0.028564661730582197
2013-05-05,0.11955337122278548
2013-05-12,0.04951112232334387
2013-05-19,0.06037582509637168
2013-05-26,0.040193128721111526
2013-06-02,0.08650345903751144
2013-06-09,0.0948227517138498
2013-06-16,0.03993833488973325
2013-06-23,0.05200717405927974
2013-06-30,0.0522157275737134
2013-07-07,0.10162128020489636
2013-07-14,0.031930705234992196
2013-07-21,0.036003963524055216
2013-07-28,0.02913645915513069
2013-08-04,0.09560080463909432
2013-08-11,0.06176488092474014
2013-08-18,0.052599781184512584
2013-08-25,0.04644865389617148
2013-09-01,0.09029731421183573
2013-09-08,0.12365734417442559
2013-09-15,0.059539636107967975
2013-09-22,0.055776114135129784
2013-09-29,0.05148771676328151
2013-10-06,0.13113049110548775
2013-10-13,0.0627552328994514
2013-10-20,0.06739518959354857
2013-10-27,0.04463163349674254
2013-11-03,0.09275466834826296
2013-11-10,0.12636326451142615
2013-11-17,0.09324356588820504
2013-11-24,0.08196595500762605
2013-12-01,0.11252706072740998
2013-12-08,0.17409411638149636
2013-12-15,0.1751810780712461
2013-12-22,0.28850614439465166
2013-12-29,0.2941109241512692
2014-01-05,0.3846052919502149
2014-01-12,0.37679104683491943
2014-01-19,0.3487541830428798
2014-01-26,0.3304578293663894
2014-02-02,0.26468371486710224
2014-02-09,0.13545478991868948
2014-02-16,0.12211619977481142
2014-02-23,0.0998528652250869
2014-03-02,0.20059226884503029
2014-03-09,0.46463519961907246
2014-03-16,0.3586191421169688
2014-03-23,0.36362134370607385
2014-03-30,0.36169267026763224
2014-04-06,0.23788211356807504
2014-04-13,0.11806537746815643
